id,measured_on,weight,waist,hips,chest,thigh,upper_arm,neck,notes,created_at
2,2026-08-05,107.6,110.0,106.0,116.0,88.0,40.0,43.0,,2026-08-06T10:26:07.716545-03:00
1,2026-07-29,106.0,112.0,107.0,115.0,61.0,39.0,43.0,,2026-07-31T09:53:13.451450-03:00
